Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1972,-0.24,-0.17,0.02,-0.01,-0.03,0.04,0.02,0.18,0.03,0.09,0.03,0.18
1973,0.28,0.3,0.25,0.25,0.25,0.15,0.09,0.02,0.06,0.12,0.06,-0.06
1974,-0.15,-0.28,-0.05,-0.1,-0.01,-0.05,-0.03,0.11,-0.12,-0.07,-0.07,-0.09
1975,0.07,0.07,0.13,0.06,0.16,-0.02,-0.03,-0.2,-0.03,-0.09,-0.16,-0.17
1976,0,-0.06,-0.21,-0.1,-0.23,-0.15,-0.12,-0.18,-0.09,-0.26,-0.06,0.09
1977,0.18,0.2,0.25,0.27,0.3,0.25,0.23,0.19,0.02,0.04,0.2,0.04
1978,0.08,0.14,0.2,0.15,0.07,-0.03,0.07,-0.17,0.05,0,0.16,0.11
1979,0.14,-0.09,0.19,0.12,0.05,0.14,0.02,0.14,0.27,0.25,0.29,0.47
1980,0.3,0.42,0.29,0.31,0.34,0.16,0.28,0.24,0.21,0.2,0.3,0.21
1981,0.56,0.41,0.48,0.31,0.24,0.3,0.35,0.35,0.17,0.13,0.21,0.4
1982,0.09,0.14,-0.01,0.09,0.16,0.05,0.13,0.08,0.15,0.13,0.14,0.42
1983,0.52,0.4,0.42,0.3,0.35,0.17,0.15,0.3,0.38,0.14,0.3,0.17
1984,0.3,0.17,0.28,0.08,0.33,0.04,0.16,0.15,0.19,0.14,0.04,-0.06
1985,0.21,-0.07,0.17,0.11,0.17,0.17,-0.01,0.14,0.14,0.11,0.09,0.15
1986,0.29,0.39,0.29,0.26,0.26,0.12,0.13,0.12,0.02,0.14,0.11,0.16
1987,0.36,0.45,0.16,0.24,0.25,0.36,0.45,0.27,0.39,0.31,0.24,0.47
1988,0.56,0.41,0.49,0.45,0.44,0.42,0.35,0.46,0.41,0.39,0.13,0.34
1989,0.15,0.35,0.36,0.33,0.17,0.14,0.33,0.35,0.37,0.32,0.21,0.37
1990,0.4,0.41,0.76,0.55,0.46,0.38,0.43,0.3,0.3,0.42,0.46,0.42
1991,0.42,0.5,0.35,0.52,0.39,0.54,0.51,0.42,0.5,0.32,0.31,0.33
1992,0.45,0.42,0.47,0.24,0.32,0.24,0.13,0.09,0.01,0.11,0.04,0.22
1993,0.37,0.39,0.35,0.28,0.26,0.23,0.28,0.13,0.11,0.23,0.07,0.19
1994,0.3,0.04,0.26,0.41,0.28,0.42,0.32,0.23,0.32,0.42,0.46,0.36
1995,0.5,0.77,0.44,0.47,0.28,0.44,0.49,0.48,0.34,0.48,0.45,0.29
